Binomial,Mean_brain_mass_g,Mean_body_mass_g,Date
Hipposideros_schlosseri,0.23,14,-35
Hipposideros_schlosseri2,0.21,15,-36
Hipposideros_schlosseri3,0.25,16,-34
Hipposideros_bouziguensis,0.43,28.7,-20
Hipposideros_bouziguensis2,0.41,26.7,-20
Hipposideros_bouziguensis3,0.45,29.3,-21
Hipposideros_fulvus,0.236,7,0
Hipposideros_ruber,0.265,7.3,0
Hipposideros_ridleyi,0.269,9.65,0
Hipposideros_speoris,0.284,11.5,0
Hipposideros_calcaratus,0.369,11.35,0
Hipposideros_larvatus,0.4165,19.85,0
Hipposideros_maggietaylorae,0.5425,20.5,0
Hipposideros_lekaguli,0.584,30.3,0
Hipposideros_turpis,0.599,34.8,0
Hipposideros_diadema,0.715,43.6,0
Hipposideros_lankadiva,0.733,48.5,0
Hipposideros_armiger,0.8,56,0
Hipposideros_commersoni,0.74475,101.25,0
Asellia_tridens,0.24,12.8,0
Aselliscus_stoliczkanus,0.15,4.9,0
Aselliscus_tricuspidatus,0.134,4.4,0
