Binomial,Mean_brain_mass_g,Mean_body_mass_g,Date
Paramys_copei,7.14,1030,-51
Paramys_delicatus,12,2700,-48
Ischyromis_typus,5.2,1200,-33
Neopiblema_acreensis,47,78000,-10
Prospaniomys_priscus,2.43,336,-17
Incamys_bolivianus,3.6,788,-23
Josephoartigasia_monesi,295,400000,-3.2
Eumysops_chapalmalensis,0.685,170,-3.3
Heterocephalus_glaber,0.52,60.8,0
Hystrix_sumatrae,27.04,3260,0
Hystrix_cristata,32.4,15000,0
Hystrix_africaeaustralis,35.71,14936,0
Hydrochoeris_hydrochaeris,75,28500,0
Cryptomys_hottentotus,1.17,98.4,0
Cavia_porcellus,4.83,1076,0
Cavia_aperea,4.04,306.45,0
Chinchilla_lanigera,6.8,372,0
Octodon_degus,2.1,210,0
Spalacopus_cyanus,1.58,93,0
Hydrochoeris_hydrochaeris,75,28500,0
Dolichotis_patagonum,30.5,8000,0
Dolichotis_salinicola,15.31,1600,0


