Binomial,Mean_brain_mass_g,Mean_body_mass_g,Date
Spermophilus_citellus,2.89,288.5,0
Spermophilus_beldingi,2.96,246.9,0
Spermophilus_mollis,1.67,117.1,0
Spermophilus_canus,1.6,154,0
Spermophilus_tereticaudus,1.68,133.3,0
Cynomys_parvidens,5.58,576,0
Aplodontia_rufa,7.04,806,0
Xerus_inauris,7.65,400,0
Sciurus_aureogaster,7.81,595,0
Marmota_baibacina,13.75,5375,0
Marmota_marmota,14.25,3813.65,0
Marmota_olympus,15.43,3478.8,0
Mesogaulus_paniensis,7.2,277,-19
Protosciurus_rachelae,4.32,361,-23.8
Paramys_copei,7.14,1030,-51
Paramys_delicatus,12,2700,-48
Neopiblema_acreensis,47,78000,-10
Prospaniomys_priscus,2.43,336,-17
Incamys_bolivianus,3.6,788,-23
Ischyromis_typus,5.2,1200,-33
