Host_species,Carbovirus,Cultervirus,Orthobornavirus,Total_EBLs
Acanthisitta_chloris,1,0,0,1
Acinonyx_jubatus,6,0,0,6
Ailuropoda_melanoleuca,4,0,0,4
Aotus_nancymaae,8,5,8,21
Balaenoptera_acutorostrata,5,0,0,5
Bison_bison,4,0,1,5
Bos_indicus,7,0,1,8
Bos_mutus,4,0,1,5
Bos_taurus,7,0,1,8
Bubalus_bubalis,5,0,0,5
Callithrix_jacchus,14,8,20,42
Callorhinus_ursinus,3,0,0,3
Calypte_anna,0,0,4,4
Camelus_bactrianus,5,0,0,5
Camelus_dromedarius,5,0,0,5
Camelus_ferus,5,0,0,5
Canis_dingo,5,0,0,5
Canis_lupus,8,0,0,8
Capra_hircus,3,0,1,4
Carlito_syrichta,4,1,1,6
Castor_canadensis,4,3,6,13
Cavia_porcellus,0,3,1,4
Cebus_capucinus,10,4,7,21
Ceratotherium_simum,6,0,1,7
Cercocebus_atys,11,5,5,21
Chaetura_pelagica,0,0,1,1
Chinchilla_lanigera,0,5,1,6
Chlorocebus_sabaeus,26,10,11,47
Chrysochloris_asiatica,7,0,4,11
Colobus_angolensis,13,5,4,22
Condylura_cristata,0,0,2,2
Corvus_brachyrhynchos,1,0,0,1
Corvus_cornix,1,0,0,1
Cyanistes_caeruleus,1,0,0,1
Delphinapterus_leucas,5,0,0,5
Desmodus_rotundus,11,0,4,15
Dipodomys_ordii,3,3,0,6
Echinops_telfairi,5,2,1,8
Elephantulus_edwardii,3,1,0,4
Enhydra_lutris,2,0,0,2
Eptesicus_fuscus,3,29,1,33
Equus_asinus,5,0,0,5
Equus_caballus,9,0,0,9
Equus_przewalskii,5,0,0,5
Erinaceus_europaeus,0,2,0,2
Felis_catus,5,0,0,5
Ficedula_albicollis,2,0,0,2
Cryptomys_damarensis,0,3,0,3
Galeopterus_variegatus,6,0,3,9
Geospiza_fortis,1,0,0,1
Gorilla_gorilla,24,10,14,48
Heterocephalus_glaber,0,7,2,9
Hipposideros_armiger,2,0,1,3
Homo_sapiens,25,11,19,55
Ictidomys_tridecemlineatus,0,0,1,1
Lagenorhynchus_obliquidens,5,0,0,5
Lepidothrix_coronata,1,0,0,1
Leptonychotes_weddellii,3,0,0,3
Lipotes_vexillifer,5,0,0,5
Loxodonta_africana,16,0,8,24
Macaca_fascicularis,21,10,10,41
Macaca_mulatta,20,10,8,38
Macaca_nemestrina,10,4,5,19
Mandrillus_leucophaeus,11,5,6,22
Manis_javanica,2,0,0,2
Marmota_marmota,1,0,0,1
Meriones_unguiculatus,0,6,0,6
Microcebus_murinus,1,0,2,3
Miniopterus_natalensis,7,1,3,11
Monodelphis_domestica,2,6,4,12
Mus_caroli,0,1,8,9
Mus_musculus,0,2,10,12
Mus_pahari,0,1,10,11
Mustela_putorius_furo,2,0,0,2
Myotis_brandtii,5,26,0,31
Myotis_davidii,2,26,1,29
Myotis_lucifugus,2,27,0,29
spalax_ehrenbergi,0,2,2,4
Neomonachus_schauinslandi,4,0,0,4
Neophocaena_asiaeorientalis,3,0,0,3
Nomascus_leucogenys,16,9,12,37
Nothobranchius_furzeri,0,4,0,4
Numida_meleagris,0,0,2,2
Octodon_degus,0,1,1,2
Odobenus_rosmarus,4,0,0,4
Odocoileus_virginianus,4,0,0,4
Orcinus_orca,5,0,0,5
Orycteropus_afer,16,0,5,21
Oryzias_latipes,0,6,0,6
Otolemur_garnettii,3,9,1,13
Ovis_aries,6,0,2,8
Ovis_aries_musimon,2,0,1,3
Pan_paniscus,25,10,14,49
Pan_troglodytes,29,10,14,53
Panthera_pardus,3,0,0,3
Panthera_tigris,3,0,0,3
Pantholops_hodgsonii,2,0,1,3
Papio_anubis,19,10,12,41
Parus_major,2,0,0,2
Pelodiscus_sinensis,0,0,1,1
Peromyscus_maniculatus,0,1,1,2
Phascolarctos_cinereus,4,4,5,13
Physeter_catodon,5,0,0,5
Picoides_pubescens,0,0,1,1
Piliocolobus_tephrosceles,13,5,6,24
Pongo_abelii,25,8,14,47
Propithecus_coquereli,4,0,4,8
Pseudopodoces_humilis,1,0,0,1
Pteropus_alecto,2,0,0,2
Pteropus_vampyrus,2,0,0,2
Puma_concolor,3,0,0,3
Python_bivittatus,0,0,1,1
Rattus_norvegicus,0,10,22,32
Rhinolophus_sinicus,5,0,1,6
Rhinopithecus_bieti,13,5,5,23
Rhinopithecus_roxellana,14,5,6,25
Rousettus_aegyptiacus,2,0,0,2
Saimiri_boliviensis,7,4,7,18
Sarcophilus_harrisii,6,2,3,11
Sorex_araneus,0,7,0,7
Sus_scrofa,1,2,0,3
Takifugu_rubripes,0,4,0,4
Theropithecus_gelada,18,10,10,38
Trichechus_manatus,18,0,8,26
Tupaia_chinensis,0,2,0,2
Tursiops_truncatus,5,0,0,5
Ursus_arctos,4,0,0,4
Ursus_maritimus,4,0,0,4
Vicugna_pacos,6,0,0,6
Vulpes_vulpes,5,0,0,5
Zonotrichia_albicollis,1,0,0,1
